TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
I,O,1,loved,ARG1,PRP,
loved,B-OP,3~1,then~loved,loc~ROOT,VBD,
it,O,1,loved,ARG2,PRP,
then,O,_,_,_,RB,
",",O,_,_,_,_,
but,O,_,_,_,_,
unfortunately,O,1,loved,_but_c,RB,
it,O,9,before,ARG1,PRP,
was,O,_,_,_,_,
before,O,6,unfortunately,ARG1,IN,
the,O,_,_,_,DT,
days,O,9~10,before~the,ARG2~BV,NNS,
of,O,_,_,_,_,
wireless,O,_,_,_,JJ,
internet,O,13~11,wireless~days,compound~ARG1,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
while,O,0,while,ROOT,IN,
about,O,_,_,_,_,
8,O,_,_,_,CD,
years,O,4~2,ago~8,ARG2~ARG1,NNS,
ago,O,_,_,_,RB,
",",O,_,_,_,_,
I,O,7,hope,ARG1,PRP,
hope,O,4~0,ago~while,ARG1~ARG2,VBP,
that,O,_,_,_,_,
the,O,_,_,_,DT,
quality,B-ASP,12~9,changed~the,ARG1~BV,NN,
has,O,_,_,_,_,
changed,O,7,hope,ARG2,VBN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,DT,
ATI,B-ASP,_,_,_,NNP,at ##i
graphics,I-ASP,_,_,_,NNS,
card,I-ASP,4~1~0~2,is~ATI~The~graphics,ARG1~compound~BV~compound,NN,
is,O,9,definitely,ARG1,VBZ,
a,O,_,_,_,DT,
huge,B-OP,_,_,_,JJ,
plus,I-OP,6~4~5,huge~is~a,ARG1~ARG2~BV,NN,
",",O,_,_,_,_,
definitely,O,13,if,ARG1,RB,
a,O,_,_,_,DT,
good,B-OP,_,_,_,JJ,
value,O,9~10~11,definitely~a~good,ARG2~BV~ARG1,NN,
if,O,13,if,ROOT,IN,
you,O,18~20~15,able~run~need,ARG1~ARG1~ARG1,PRP,
need,O,13,if,ARG2,VBP,
to,O,_,_,_,_,
be,O,_,_,_,_,
able,O,15,need,ARG2,JJ,
to,O,_,_,_,_,
run,O,18,able,ARG2,VB,
some,O,_,_,_,DT,
slightly,O,_,_,_,RB,
older,O,22,slightly,ARG1,JJR,
games,O,36~20~21~23~33,as~run~some~older~with,ARG1~ARG2~BV~ARG1~ARG2,NNS,
that,O,_,_,_,_,
a,O,_,_,_,DT,
Intel,B-ASP,_,_,_,NNP,
built-in,I-ASP,_,_,_,JJ,built - in
card,I-ASP,27~31~26~28,Intel~have~a~built-in,compound~ARG1~BV~ARG2,NN,
would,O,_,_,_,_,
have,O,33,with,ARG1,VB,
trouble,O,31,have,ARG2,NN,
with,O,28,built-in,ARG2,IN,
",",O,_,_,_,_,
such,O,36,as,mwe,JJ,
as,O,_,_,_,IN,
Half-Life,O,_,_,_,NNP,half - life
2,O,36~37,as~Half-Life,ARG2~compound,CD,
or,O,_,_,_,_,
even,O,_,_,_,_,
World,O,42~38,of~2,ARG1~_or_c,NNP,
of,O,_,_,_,IN,
Warcraft,O,42,of,ARG2,NNP,war ##craft
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
But,O,0,But,ROOT,CC,
when,O,0,But,ARG2,WRB,
I,O,3,received,ARG1,PRP,
received,O,1,when,ARG2,VBD,
my,O,_,_,_,PRP$,
replacement,O,4~3,my~received,poss~ARG2,NN,
",",O,_,_,_,_,
I,O,8,made,ARG1,PRP,
made,O,1,when,ARG1,VBD,
BOTH,O,_,_,_,DT,
recovery,B-ASP,_,_,_,NN,
DVDs,I-ASP,13~9~10~8,4~BOTH~recovery~made,parenthetical~BV~compound~ARG2,NNS,
(,O,_,_,_,_,
4,O,_,_,_,CD,
),O,_,_,_,_,
",",O,_,_,_,_,
and,O,_,_,_,_,
a,O,_,_,_,DT,
driver/application,B-ASP,_,_,_,NN,driver / application
DVD,I-ASP,17~18~11,a~driver/application~DVDs,BV~compound~_and_c,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
This,O,_,_,_,DT,
computer,O,3~0,awful~This,ARG1~BV,NN,
was,O,_,_,_,_,
awful,B-OP,3,awful,ROOT,JJ,
!,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
This,O,1,is,ARG1,DT,
is,O,1,is,ROOT,VBZ,
my,O,_,_,_,PRP$,
first,O,_,_,_,JJ,
LG,O,_,_,_,NNP,l ##g
product,O,2~1~4~3,my~is~LG~first,poss~ARG2~compound~ARG1,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,12~2~9,think~found~help,ARG1~ARG1~ARG1,PRP,
have,O,_,_,_,_,
found,O,8,to,ARG1,VBN,
a,O,_,_,_,DT,
lot,O,2~3,found~a,ARG2~BV,NN,
of,O,_,_,_,_,
online,O,_,_,_,JJ,
sources,O,6~4,online~lot,ARG1~ARG1,NNS,
to,O,8,to,ROOT,TO,
help,O,8,to,ARG2,VB,
me,O,9,help,ARG2,PRP,
but,O,_,_,_,_,
