TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
the,O,_,_,_,_,,O
title,O,2,says,ACT-arg,NN,,O
says,O,2,says,ROOT,VBZ,,O
it,O,2,says,EFF-arg,PRP,,O
all,O,3,it,EXT,DT,,O
...,O,_,_,_,.,. . .,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
note,O,0,note,ROOT,NN,,O
:,O,_,_,_,_,,O
this,O,4,add,ACT-arg,DT,,O
will,O,_,_,_,_,,O
add,O,4,add,ROOT,VB,,O
about,O,7,30,EXT,RB,,O
$,O,4,add,PAT-arg,$,,O
30,O,6,$,RSTR,CD,,O
to,O,_,_,_,_,,O
the,O,_,_,_,_,,O
price,O,4~14,add~but,EFF-arg~ADVS.member,NN,,O
to,O,_,_,_,_,,O
purchase,O,10,price,PAT-arg,VB,,O
",",O,_,_,_,_,,O
but,O,_,_,_,CC,,O
worth,O,4~14,add~but,EFF-arg~ADVS.member,JJ,,O
it,O,15,worth,PAT-arg,PRP,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1~9,have~loaded,ACT-arg~ACT-arg,PRP,,O
have,O,7~1,and~have,CONJ.member~ROOT,VBP,,O
a,O,_,_,_,_,,O
large,O,4,collection,RSTR,JJ,,O
collection,O,1,have,PAT-arg,NN,,O
of,O,_,_,_,_,,O
cds,O,4,collection,PAT-arg,NNS,,O
and,O,_,_,_,CC,,O
have,O,_,_,_,_,,O
loaded,O,7~9,and~loaded,CONJ.member~ROOT,VBN,,O
over,O,_,_,_,_,,O
100,O,9,loaded,PAT-arg,CD,,O
of,O,_,_,_,_,,O
them,O,11,100,DIR1,PRP,,O
so,O,15,far,EXT,RB,,O
far,O,9,loaded,TTILL,RB,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
you,O,6~3,got~paid,ACT-arg~ACT-arg,PRP,,O
could,O,_,_,_,_,,O
have,O,_,_,_,_,,O
paid,O,5~3,and~paid,CONJ.member~ROOT,VBN,,O
more,O,3,paid,PAT-arg,JJR,,O
and,O,_,_,_,CC,,O
got,O,5~6,and~got,CONJ.member~ROOT,VBN,,O
a,O,_,_,_,_,,O
lot,O,9,less,EXT,NN,,O
less,O,6,got,PAT-arg,JJR,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
so,O,13,was,PREC,RB,,O
yes,O,13,was,PARTL,UH,,O
",",O,_,_,_,_,,O
as,O,_,_,_,_,,O
with,O,_,_,_,_,,O
all,O,6,software,RSTR,DT,,O
software,B-ASP,13,was,CPR,NN,,AT-Head
bundled,O,6,software,RSTR,VBN,,O
with,O,_,_,_,_,,O
creative,O,10,products,RSTR,JJ,,O
products,O,7,bundled,EFF-arg,NNS,,O
",",O,_,_,_,_,,O
it,O,13,was,ACT-arg,PRP,,O
was,O,13,was,ROOT,VBD,,O
useless,B-OP,13~15,was~and,PAT-arg~CONJ.member,JJ,,"6###[""OT"", ""PAT-arg^-1"", ""*"", ""CPR"", ""ASP""]"
and,O,_,_,_,CC,,O
ugly,B-OP,13~15,was~and,PAT-arg~CONJ.member,JJ,,"6###[""OT"", ""PAT-arg^-1"", ""*"", ""CPR"", ""ASP""]"
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
sound,B-ASP,0,sound,ROOT,NN,,AT-W\O-Path
:,O,_,_,_,_,,O
exceptional,B-OP,2,exceptional,ROOT,JJ,,OT-W\O-Path
",",O,_,_,_,_,,O
though,O,_,_,_,_,,O
i,O,9,compare,ACT-arg,PRP,,O
can,O,_,_,_,_,,O
't,O,9,compare,RHEM,RB,' t,O
really,O,9,compare,ATT,RB,,O
compare,O,9,compare,ROOT,VB,,O
it,O,9,compare,PAT-arg,PRP,,O
to,O,_,_,_,_,,O
the,O,_,_,_,_,,O
ipod,O,9,compare,ADDR-arg,NN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
